cod_regiao,qtd_total_pes,qtd_total_pes_pobre,qtd_total_pes_vulneravel,percent_pes_pobre,percent_pes_vulneraveis,num_renda
1,15864454.00000003,8535353.002678104,2594658.629781302,53.80174447023571,16.35517131431877,420.5917489224677
2,53081950.0000001,20559194.89140072,9421908.83660385,38.73104678972923,17.74974136519821,330.6786566804191
3,80364410.00000058,8295707.264613748,7544151.26674455,10.32261328691853,9.387428174666491,675.3403287997085
4,27386891.00000008,4605876.761115318,3424154.822263626,16.81781535960144,12.50289717903217,779.6958944216274
5,14058094.00000006,2922156.146647306,2227752.752908364,20.78628971073386,15.84676239117732,661.7315798236913
